time,gt_x,gt_y,linear_x,linear_y,bayesian_x,bayesian_y,particle_x,particle_y,error_linear,error_bayesian,error_particle
8.887424,1.0,0.7,0.12186473352366242,-0.2548172759435063,14.102584751305468,-29.387434476695645,14.036607356043728,-29.63468476420384,4.011680389984434,440.510255414382,436.6475102041644
8.92528,1.0,0.7,0.12268983563073242,-0.25647390640761764,14.234353926302205,-29.743497653817737,14.186350133648462,-29.950625499540827,4.035559022252052,445.20586708291506,441.3295827447552
8.973894,1.0,0.7,0.12346920984193092,-0.2581419294189814,14.358406552695081,-30.02702488873937,14.336833749785756,-30.268275371718207,4.059399371320317,449.9500875091568,446.03673479981796
9.019054,1.0,0.7,0.12430006330781822,-0.2598384266766026,14.558452325463225,-30.395357654251807,14.488163888456963,-30.587618775270652,4.083243899058715,454.7198470495202,450.7688344527
9.060429,1.0,0.7,0.12506804972366198,-0.2615178881383253,14.670682235274775,-30.727846648583974,14.640223365304822,-30.90866422246348,4.1071498005786085,459.50488814166056,455.5260046397232
9.105388,1.0,0.7,0.12585887474096097,-0.26319737559268797,14.83699951064355,-31.04222539118888,14.793112043922001,-31.231333660401884,4.131020718095285,464.23677744074786,460.3081968599517
9.153746,1.0,0.7,0.12666114901138822,-0.2648541064491522,15.001625482588663,-31.368972019517155,14.9466741801101,-31.555586279210864,4.1548807782772315,469.0158421557313,465.115293213922
9.198915,1.0,0.7,0.12742337276859877,-0.2665222320637129,15.12463356485731,-31.668386840715165,15.100948229616044,-31.881524454515453,4.178792191047762,473.91451672198514,469.94734610071305
9.240275,1.0,0.7,0.12821417244761443,-0.2682017467148398,15.262779102589453,-31.99453285308209,15.255964229235568,-32.20915622037517,4.202696633315855,478.85207636801346,474.80440117748805
9.286413,1.0,0.7,0.1289706370409553,-0.26987559407264444,15.488619948459986,-32.34494193708256,15.411730122812953,-32.53848935407777,4.226717938092553,483.719014685285,479.6866859120971
9.329544,1.0,0.7,0.12979003831631503,-0.27154945621669757,15.614344477885247,-32.63762076411633,15.568313161635901,-32.869460805000266,4.250618331934261,488.6998168530067,484.59388040106575
9.372068,1.0,0.7,0.13054649171365854,-0.273234716706743,15.748138150554155,-32.99479266993155,15.72559326643831,-33.202142849282666,4.274590127731003,493.60308911217163,489.52611808144377
9.422675,1.0,0.7,0.13135443678680056,-0.27490292935172994,15.906934805364173,-33.325003803034,15.88367654866486,-33.53646375124333,4.298586927098032,498.61925605340144,494.4834640068444
9.46579,1.0,0.7,0.13212803793988767,-0.2765768395457214,16.039943102460427,-33.65940724573407,16.042588048506516,-33.872445978555696,4.322581875010948,503.59536638571694,499.4657199155115
9.516898,1.0,0.7,0.1329359891339833,-0.27827925275846377,16.250516045669134,-34.03949139259831,16.202315256212927,-34.2101420939369,4.346664783518729,508.6421246162487,504.47310540491014
