sample_idx,time_s,dt_s,step_event,zupt_stationary,zupt_confidence,gt_pos_x_m,gt_pos_y_m,kf_pos_x_m,kf_pos_y_m,kf_pos_z_m,kf_vel_x_mps,kf_vel_y_mps,bayes_pos_x_m,bayes_pos_y_m,bayes_pos_z_m,particle_pos_x_m,particle_pos_y_m,particle_pos_z_m,kf_error_2d_m,bayes_error_2d_m,particle_error_2d_m
485,14.769071,0.035796,0,True,1.0,,,0.061677432173201166,0.18384787383562895,0.0,8.67705081587168e-06,0.0002902442548363905,0.5960265884282018,0.7955534830815806,4.950604143453323,0.06919854172221522,0.2453171113053599,1.612667425540719e-05,,,
486,14.800597,0.031527,0,False,0.8,,,0.06168116705659986,0.1838653920726557,0.0,3.3286758794820284e-05,0.0003497379425142496,0.0980545686942886,0.15352529084828911,-0.040704386181723506,0.06926503632999606,0.24583904052214858,-2.2004119055390564e-05,,,
487,14.828753,0.028155,0,False,0.6,,,0.06168564871576174,0.18388253288731352,0.0,5.7552618493983385e-05,0.0003996731292593603,0.13267754816480157,0.21963774251029314,0.023561333875285955,0.06931252077988745,0.2462519683402777,-1.3404354712683023e-05,,,
488,14.856681,0.027928,0,False,0.4,,,0.06169003208658021,0.18390242728431203,0.0,7.562779660798526e-05,0.00045653047702493124,0.47772969746366567,0.3659956213019687,3.4986834775552813,0.06937053906245899,0.2466048054767332,-8.846423997673403e-06,,,
489,14.888419,0.031738,0,False,0.2,,,0.06169097589754383,0.1839299537107247,0.0,6.657393896705632e-05,0.0005375731261743324,0.42720727001719255,0.7882671433938153,7.669917688617092,0.06930960765146897,0.24678554374569753,1.049849718807971e-05,,,
490,14.923332,0.034913,0,False,0.0,,,0.06168711053853666,0.18396034149372598,0.0,2.9890951096319025e-05,0.0006064360441802127,0.012297491681679174,0.19273920474622352,-0.008848680113779142,0.06934238062770985,0.24732291275305354,2.1471860639958224e-05,,,
491,14.959077,0.035745,0,False,0.0,,,0.06167809672977111,0.18399547585060982,0.0,-2.658776323466718e-05,0.0006818210241835709,0.11454903144626669,0.29569525252112916,-0.01771099817598977,0.06929495323946601,0.24783618874603677,2.14700545465547e-05,,,
492,14.988186,0.029109,0,False,0.0,,,0.061663505795633664,0.1840298842926368,0.0,-9.876820355398485e-05,0.0007578898331540937,0.22797161418622652,0.5745604463173626,3.8090124059864205,0.06922931382705952,0.24814047829138874,4.07994382466174e-05,,,
493,15.01282,0.024634,0,False,0.0,,,0.06165122201181297,0.18406557733767487,0.0,-0.0001469230451531137,0.0008411069189272508,0.27282388115573514,0.7771385610607959,7.088003367281759,0.06913549446858235,0.248320263989406,2.4335054586238114e-05,,,
494,15.044252,0.031432,0,False,0.0,,,0.06164538180728805,0.18411987615900582,0.0,-0.00015255267041707288,0.0009694477588200927,0.08114429586564408,0.21029035282363612,0.01674415350181749,0.0690674649887,0.24863690620873635,-2.041588575406199e-05,,,
495,15.072579,0.028327,0,False,0.0,,,0.06164209381776365,0.18416181599636647,0.0,-0.0001480662532413276,0.0010323058386077194,0.12954012105093396,0.2843138153977436,0.01770752962877863,0.06899695198238992,0.24884856004386144,1.652182471059531e-05,,,
496,15.107568,0.034989,0,False,0.0,,,0.061628334332758314,0.18423006558410565,0.0,-0.0001834510121923165,0.0011648326993639593,0.31139555698263477,0.4063965639121117,4.72249428846408,0.06890476456332639,0.24920027123458255,3.4581135916710774e-05,,,
497,15.142591,0.035022,0,False,0.0,,,0.061598399610346945,0.18433141615792228,0.0,-0.000275554124039498,0.0014020679766926238,0.045626915370406605,0.21966981458219428,-0.00035280598495370576,0.06876446742466918,0.24958263739281528,2.330123039326166e-05,,,
498,15.174728,0.032138,0,False,0.0,,,0.06153008910935032,0.18443897636820544,0.0,-0.0004964799599047623,0.001634311622513477,0.12308342210795942,0.28883384339042373,-0.006175860258167373,0.06854482669524775,0.2499216192220157,-5.2565070915668785e-06,,,
499,15.202624,0.027896,0,False,0.0,,,0.06144722954193838,0.18455256489386954,0.0,-0.0007400503878522999,0.0018743102114032626,0.09875753878262875,0.36002156165436533,3.617111465184407,0.06828222344438384,0.25016164031622984,-1.8724114571483162e-05,,,
500,15.238195,0.035571,0,False,0.0,,,0.06140303299437399,0.1846887107269277,0.0,-0.0008003288582550844,0.0021086309870143112,0.10092834587742242,0.14722012383166272,-0.014423232629571093,0.06800141164672743,0.2506091283464509,2.500138363774502e-06,,,
501,15.27344,0.035245,0,False,0.0,,,0.06137567085477602,0.18482799780685333,0.0,-0.000797602965235696,0.002318101261835585,0.13467101081159982,0.26182783806426535,0.03658165406628535,0.06775928223706837,0.2510522997712413,-3.123627119155641e-05,,,
502,15.30494,0.0315,0,False,0.0,,,0.06133870218574337,0.18496464364982562,0.0,-0.0008340888092098585,0.00251409933964752,0.25895857235649444,0.8970355660112784,3.9925024658535637,0.06753819972775614,0.2513929578586587,1.2902256918136916e-05,,,
503,15.333107,0.028168,0,False,0.0,,,0.0612910856378172,0.185078986031808,0.0,-0.0009052158972991998,0.002642439917581548,0.3538645141851495,1.1334506547246253,7.928752005182781,0.06733250202348603,0.2515845371086331,6.339950057200294e-06,,,
504,15.361196,0.028089,0,False,0.0,,,0.06122034193802207,0.18518910420982526,0.0,-0.0010334169581310544,0.002743985193648929,0.0687499033111877,0.19490452239800268,-0.047437229569393856,0.06710834769510905,0.2517653400015117,-4.787703398651507e-05,,,
505,15.392723,0.031527,0,False,0.0,,,0.06110876595715754,0.185287981758895,0.0,-0.0012483688874155511,0.0027776391590915023,0.12103738073974009,0.31536392199885116,-0.01678350409734879,0.06660937300114952,0.25172214477505367,-6.134039664661865e-07,,,
506,15.420644,0.027921,0,False,0.0,,,0.061047176893564516,0.1853810634338773,0.0,-0.00131841346626168,0.0028183223053177475,0.28740993864383557,0.5840865895530553,3.75196450184177,0.06636433773826811,0.25181046883483105,-5.843446013846463e-06,,,
507,15.457094,0.03645,0,False,0.0,,,0.06103451969109771,0.18564931558298725,0.0,-0.0012286717665286177,0.003237951260810032,0.09786417652948846,0.1927077354846104,0.008658194129668166,0.06610731903674906,0.25217031617779967,8.554136708443576e-06,,,
508,15.488968,0.031873,0,False,0.0,,,0.06104694003782434,0.1859025579580165,0.0,-0.0011023844353830986,0.0036052909751129354,0.10987919950427971,0.275775452478954,0.01553514691037683,0.06593495351359031,0.2524657473015346,3.797966502940448e-06,,,
509,15.524322,0.035354,0,False,0.0,,,0.06100072739785492,0.18623105526787445,0.0,-0.0011195474479212505,0.004081932659592095,0.43462587381954626,0.5904759440773656,4.829499850897475,0.06572648828108187,0.25289798865073915,-4.304453568954319e-05,,,
510,15.557339,0.033017,0,False,0.0,,,0.06094189237425021,0.18653797734202496,0.0,-0.00116974517813704,0.004477045532601736,0.08108607054930496,0.17593325345638397,0.02735253195155159,0.06555219603974627,0.25331075389591573,3.986059651707927e-05,,,
511,15.585232,0.027893,0,False,0.0,,,0.06091493417861044,0.18670866734624622,0.0,-0.0011571443034495488,0.004578865400248109,0.11134996511013663,0.2813966189937669,0.011842186945858917,0.06540356117514134,0.253517918840854,7.389406504365419e-06,,,
512,15.61297,0.027738,0,False,0.0,,,0.06093492190373836,0.1868517821027608,0.0,-0.0010448858801948874,0.0046135792213953765,0.4301941784106503,0.6223698142005428,3.687816337396678,0.06529568916436747,0.25367602711606513,4.7157802889961684e-07,,,
513,15.644257,0.031286,0,False,0.0,,,0.0609503763012243,0.1870270087172223,0.0,-0.0009440803860104069,0.004678248776169808,0.5527667336463198,0.826369379031653,8.076597264113532,0.06520052113510572,0.2538849743026401,-6.868298402459659e-05,,,
514,15.671911,0.027654,0,False,0.0,,,0.060992775206483656,0.18721014943344255,0.0,-0.0008046635671163716,0.004787672294290974,0.04269341329938193,0.2055691699435734,-0.023740789520906323,0.06514744175163087,0.25400128098835895,2.5074428316694026e-05,,,
515,15.699838,0.027927,0,False,0.0,,,0.06101473052727921,0.18746735324208527,0.0,-0.0007166832421183627,0.005032239733307751,0.1271070298975044,0.31183549868027133,-0.010911957418997588,0.06508786960702012,0.2541381179329511,-1.881728512863433e-05,,,
516,15.736404,0.036566,0,False,0.0,,,0.06112184461844089,0.1878780789333727,0.0,-0.0004586740581885719,0.005470995170655777,0.07654598039508562,0.6173759831646622,5.115217779579388,0.06510387436438687,0.2545086386859451,8.301040122294217e-07,,,
517,15.761792,0.025388,0,False,0.0,,,0.061262221483331776,0.18817011115464935,0.0,-0.00017196819201789333,0.0057597999412031696,0.0547601024097926,0.18764624760712514,0.0028793807693879847,0.06515909486310748,0.2546273200893411,-4.154413326049561e-05,,,
518,15.793087,0.031295,0,False,0.0,,,0.0614205581482456,0.18853608437716585,0.0,0.000129439719296222,0.006101713614026656,0.1103777430161985,0.2558699629827232,0.04079503461230875,0.06527105192826238,0.25493052637088837,3.297888399137935e-05,,,
519,15.821576,0.028489,0,False,0.0,,,0.06148344105932077,0.18885097918186544,0.0,0.00023583464406600548,0.006355253939635231,0.1179782740704216,0.3964312599486821,3.9205170153055056,0.06537900841227465,0.2551396724486459,8.561399790501907e-06,,,
520,15.85428,0.032704,0,False,0.0,,,0.06153023470079363,0.18925421871609122,0.0,0.0003045516951535492,0.006698826505250029,0.10970325351119029,0.1947805677397845,-0.011217934760223643,0.06548305007302438,0.25549552305483264,8.691391260865633e-05,,,
521,15.889034,0.034753,0,False,0.0,,,0.061580716198209,0.1896497004584131,0.0,0.00037328411510715036,0.006979075584517723,0.12294923739018668,0.26660089110387947,0.04013834644262304,0.0655282066484517,0.25572472153237147,1.1057302086778128e-05,,,
522,15.923783,0.034749,0,False,0.0,,,0.06158460030518156,0.19004280016695121,0.0,0.0003579418939807373,0.007233312828553149,0.21172071150287072,0.4333134660979755,5.016228668677002,0.06563731430810175,0.2561139168905676,1.647399256451116e-05,,,
523,15.958337,0.034555,0,False,0.0,,,0.061699292821540304,0.19055175825937554,0.0,0.000527289327118507,0.0076619797453177305,0.04581714733347583,0.1798078712982288,-0.023510720468347006,0.06577529057698614,0.25653589764484513,8.008933802148619e-05,,,
