t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,state,step,heading_rad,pos_x_m,pos_y_m,walkable
4.183976,0.031331,0.023760,-0.022434,1.022308,1.022830,-0.000903,-0.000426,0.001346,STILL,0,-0.001306,1.000000,0.250000,1
4.215296,0.031320,0.024729,-0.022434,1.020359,1.020905,0.001525,-0.000117,-0.001066,STILL,0,-0.001339,1.000000,0.250000,1
4.246669,0.031374,0.024245,-0.023158,1.020359,1.020909,0.000003,0.001709,-0.000160,STILL,0,-0.001344,1.000000,0.250000,1
4.281653,0.034984,0.025942,-0.023158,1.023039,1.023630,-0.001489,0.000491,-0.001066,STILL,0,-0.001382,1.000000,0.250000,1
4.313772,0.032119,0.023032,-0.022434,1.021090,1.021596,0.000322,-0.000106,-0.000134,STILL,0,-0.001386,1.000000,0.250000,1
4.345108,0.031336,0.024002,-0.022434,1.019140,1.019670,0.001813,0.000814,-0.003133,STILL,0,-0.001484,1.000000,0.250000,1
4.376425,0.031317,0.024972,-0.021228,1.022308,1.022833,-0.000304,0.000227,-0.001883,STILL,0,-0.001543,1.000000,0.250000,1
4.407758,0.031332,0.023760,-0.021710,1.019384,1.019892,0.000912,-0.000091,-0.001550,STILL,0,-0.001592,1.000000,0.250000,1
4.439075,0.031317,0.024729,-0.022434,1.019871,1.020418,-0.000014,0.002289,0.001886,STILL,0,-0.001533,1.000000,0.250000,1
4.470444,0.031370,0.024972,-0.022193,1.021090,1.021636,0.003565,-0.000445,0.000046,STILL,0,-0.001531,1.000000,0.250000,1
4.501763,0.031319,0.024972,-0.021952,1.020359,1.020900,0.001975,-0.000465,0.001516,STILL,0,-0.001484,1.000000,0.250000,1
4.533080,0.031317,0.024487,-0.022434,1.021090,1.021630,0.004687,0.001307,0.000875,STILL,0,-0.001456,1.000000,0.250000,1
4.564395,0.031315,0.024729,-0.021710,1.019871,1.020402,-0.002921,-0.000508,-0.000060,STILL,0,-0.001458,1.000000,0.250000,1
4.595714,0.031320,0.024729,-0.022193,1.021577,1.022117,0.001050,-0.000211,0.001118,STILL,0,-0.001423,1.000000,0.250000,1
4.627048,0.031333,0.024729,-0.022916,1.020602,1.021159,-0.000466,-0.001115,0.000190,STILL,0,-0.001417,1.000000,0.250000,1
4.658379,0.031331,0.023760,-0.022434,1.019384,1.019908,0.001636,0.000403,0.000153,STILL,0,-0.001412,1.000000,0.250000,1
4.689713,0.031335,0.023760,-0.022193,1.018653,1.019172,0.000116,0.000680,-0.000748,STILL,0,-0.001436,1.000000,0.250000,1
4.721040,0.031327,0.023760,-0.020745,1.021577,1.022064,-0.000519,0.000693,-0.000763,STILL,0,-0.001460,1.000000,0.250000,1
4.752366,0.031326,0.023517,-0.021952,1.020846,1.021353,0.001040,-0.000236,-0.000763,STILL,0,-0.001484,1.000000,0.250000,1
4.783727,0.031361,0.024245,-0.022675,1.021333,1.021873,0.001626,-0.000229,-0.001654,STILL,0,-0.001536,1.000000,0.250000,1
4.815058,0.031331,0.025214,-0.022193,1.018897,1.019450,-0.000220,0.000645,0.001384,STILL,0,-0.001492,1.000000,0.250000,1
4.846376,0.031317,0.024245,-0.022916,1.020359,1.020904,0.000969,0.000643,0.001313,STILL,0,-0.001451,1.000000,0.250000,1
4.877692,0.031316,0.022790,-0.022434,1.023770,1.024270,-0.001726,0.001248,0.000979,STILL,0,-0.001420,1.000000,0.250000,1
4.909036,0.031344,0.024487,-0.022675,1.018653,1.019199,-0.000778,-0.000245,0.001542,STILL,0,-0.001372,1.000000,0.250000,1
4.940351,0.031314,0.025942,-0.023640,1.018897,1.019501,-0.000451,-0.000598,0.001210,STILL,0,-0.001334,1.000000,0.250000,1
4.971668,0.031317,0.024002,-0.021469,1.019871,1.020380,0.001365,0.003266,0.001185,STILL,0,-0.001297,1.000000,0.250000,1
5.002981,0.031313,0.024729,-0.022916,1.019871,1.020428,-0.000177,-0.000126,0.001135,STILL,0,-0.001262,1.000000,0.250000,1
5.034294,0.031313,0.024245,-0.023158,1.021821,1.022371,0.001005,-0.000112,-0.000078,STILL,0,-0.001264,1.000000,0.250000,1
5.065609,0.031314,0.023275,-0.021952,1.020115,1.020617,0.001918,-0.000684,0.000220,STILL,0,-0.001257,1.000000,0.250000,1
5.096921,0.031312,0.025214,-0.022193,1.021333,1.021886,0.001594,0.000475,-0.000699,STILL,0,-0.001279,1.000000,0.250000,1
5.130597,0.033676,0.023032,-0.022916,1.020846,1.021363,0.001587,0.000734,0.002938,STILL,0,-0.001180,1.000000,0.250000,1
5.165372,0.034775,0.024487,-0.022675,1.021577,1.022122,-0.001444,0.000735,0.001960,STILL,0,-0.001112,1.000000,0.250000,1
5.199567,0.034195,0.023032,-0.021469,1.019871,1.020357,-0.000220,-0.000175,0.000128,STILL,0,-0.001108,1.000000,0.250000,1
5.234138,0.034571,0.024487,-0.023158,1.019628,1.020184,0.000983,0.000797,0.000719,STILL,0,-0.001083,1.000000,0.250000,1
5.267844,0.033706,0.024487,-0.022193,1.019871,1.020407,0.001541,-0.001342,0.000985,STILL,0,-0.001049,1.000000,0.250000,1
5.304136,0.036292,0.024487,-0.023399,1.019384,1.019946,0.000869,0.001390,0.000647,STILL,0,-0.001026,1.000000,0.250000,1
5.345216,0.041080,0.023275,-0.022675,1.021333,1.021850,0.001145,0.000148,-0.000265,STILL,0,-0.001037,1.000000,0.250000,1
5.376529,0.031313,0.024972,-0.022675,1.020846,1.021403,-0.000069,-0.000448,0.000329,STILL,0,-0.001027,1.000000,0.250000,1
5.407843,0.031314,0.025699,-0.022675,1.020602,1.021178,-0.001263,-0.001038,0.001179,STILL,0,-0.000990,1.000000,0.250000,1
5.439164,0.031321,0.023760,-0.022193,1.018165,1.018684,0.001177,0.000778,0.000228,STILL,0,-0.000982,1.000000,0.250000,1
5.470478,0.031314,0.024487,-0.021469,1.020359,1.020878,0.000572,0.000156,0.001112,STILL,0,-0.000948,1.000000,0.250000,1
5.501792,0.031314,0.023275,-0.022193,1.018165,1.018673,-0.001498,0.000421,0.000484,STILL,0,-0.000933,1.000000,0.250000,1
5.533109,0.031317,0.022790,-0.022193,1.020359,1.020855,-0.000573,0.000107,0.001964,STILL,0,-0.000871,1.000000,0.250000,1
5.564425,0.031316,0.024245,-0.023399,1.020115,1.020671,0.000022,-0.000492,0.000112,STILL,0,-0.000867,1.000000,0.250000,1
5.595741,0.031316,0.024487,-0.021228,1.018165,1.018681,0.000352,0.000130,0.001595,STILL,0,-0.000818,1.000000,0.250000,1
5.634473,0.038733,0.025214,-0.021952,1.017434,1.017983,-0.000261,0.001302,0.000055,STILL,0,-0.000815,1.000000,0.250000,1
5.665776,0.031303,0.023760,-0.022434,1.020359,1.020882,-0.000532,0.001914,0.000949,STILL,0,-0.000786,1.000000,0.250000,1
5.697118,0.031342,0.024002,-0.021710,1.020846,1.021359,0.001573,-0.000242,0.000923,STILL,0,-0.000757,1.000000,0.250000,1
5.731660,0.034543,0.023032,-0.022193,1.020602,1.021103,-0.000516,0.000372,-0.000314,STILL,0,-0.000768,1.000000,0.250000,1
5.763012,0.031352,0.025457,-0.021952,1.017922,1.018477,0.002183,-0.000826,0.000892,STILL,0,-0.000740,1.000000,0.250000,1
5.794437,0.031425,0.023760,-0.022434,1.017678,1.018203,-0.000837,-0.000203,0.002955,STILL,0,-0.000647,1.000000,0.250000,1
5.825781,0.031343,0.022790,-0.022434,1.019140,1.019642,0.000102,-0.002273,0.001390,STILL,0,-0.000603,1.000000,0.250000,1
5.857120,0.031339,0.024245,-0.022916,1.019628,1.020173,-0.001688,0.000765,-0.000118,STILL,0,-0.000607,1.000000,0.250000,1
5.888451,0.031331,0.024245,-0.022675,1.016947,1.017489,-0.002538,-0.001032,0.001398,STILL,0,-0.000563,1.000000,0.250000,1
5.919789,0.031338,0.024487,-0.023640,1.018897,1.019465,-0.000086,0.000504,0.000135,STILL,0,-0.000559,1.000000,0.250000,1
5.951142,0.031353,0.023760,-0.022434,1.018409,1.018933,0.002289,0.000487,0.000751,STILL,0,-0.000535,1.000000,0.250000,1
5.982528,0.031386,0.024245,-0.022916,1.017922,1.018468,0.000171,0.000186,0.001307,STILL,0,-0.000494,1.000000,0.250000,1
6.013936,0.031408,0.024002,-0.021710,1.019384,1.019898,0.000140,0.001356,0.000973,STILL,0,-0.000464,1.000000,0.250000,1
6.045261,0.031325,0.023760,-0.022675,1.020115,1.020644,0.000085,-0.000767,0.000640,STILL,0,-0.000444,1.000000,0.250000,1
6.076576,0.031315,0.024002,-0.022434,1.018653,1.019182,0.001604,0.001046,0.000629,STILL,0,-0.000424,1.000000,0.250000,1
6.107891,0.031314,0.024245,-0.023158,1.019871,1.020422,-0.001743,-0.001076,-0.000288,STILL,0,-0.000433,1.000000,0.250000,1
6.139206,0.031316,0.024487,-0.021710,1.019140,1.019666,0.001914,-0.000785,-0.002080,STILL,0,-0.000498,1.000000,0.250000,1
6.170521,0.031315,0.023275,-0.022675,1.018409,1.018927,0.001010,0.000727,0.001547,STILL,0,-0.000450,1.000000,0.250000,1
6.204029,0.033507,0.024002,-0.023158,1.019384,1.019929,-0.000816,0.000117,-0.000912,STILL,0,-0.000480,1.000000,0.250000,1
6.235342,0.031313,0.023032,-0.022193,1.018165,1.018668,0.000347,-0.000752,-0.000881,STILL,0,-0.000508,1.000000,0.250000,1
6.266657,0.031315,0.024002,-0.021469,1.019140,1.019649,0.000045,-0.001042,0.001240,STILL,0,-0.000469,1.000000,0.250000,1
