t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,state,step,heading_rad,pos_x_m,pos_y_m,walkable
6.215319,0.031311,0.050914,-0.067302,1.039123,1.042545,0.099209,-0.194962,-0.016166,STILL,0,-0.006375,1.000000,0.250000,1
6.246632,0.031313,0.091887,-0.070197,1.012804,1.019384,0.186563,-0.358063,-0.032354,STILL,0,-0.007388,1.000000,0.250000,1
6.277944,0.031312,0.138921,-0.047039,0.983073,0.993954,0.035680,-0.076070,0.004526,STILL,0,-0.007247,1.000000,0.250000,1
6.309255,0.031311,0.110555,-0.046315,1.014997,1.022051,-0.062892,0.092975,0.015670,STILL,0,-0.006756,1.000000,0.250000,1
6.340566,0.031311,0.098433,-0.122543,1.018897,1.030949,-0.017077,0.014784,0.006202,STILL,0,-0.006562,1.000000,0.250000,1
6.371879,0.031313,0.105706,-0.077916,1.017434,1.025874,0.045255,-0.087399,-0.011551,STILL,0,-0.006924,1.000000,0.250000,1
6.403191,0.031312,0.139649,-0.060789,0.992090,1.003713,-0.011299,0.046748,0.064850,STILL,0,-0.004893,1.000000,0.250000,1
6.436926,0.033735,0.098433,-0.021952,1.111258,1.115825,-0.339944,0.487181,0.033696,MOVE,0,-0.003756,1.000000,0.250000,1
6.468241,0.031315,0.032730,-0.100350,1.035224,1.040591,0.137141,-0.220811,-0.023420,MOVE,0,-0.004490,1.000000,0.250000,1
6.499553,0.031312,0.115162,-0.051381,1.002325,1.010227,0.154857,-0.266015,-0.017006,MOVE,0,-0.005022,1.000000,0.250000,1
